Mã TC,Tiêu đề testcase,Kết quả mong đợi,Kết quả thực tế,Tình trạng thực thi,Mức độ nghiêm trọng của lỗi,Kiểu chạy (Thủ công / Tự động),Người kiểm thử,Ngày bắt đầu,Chi tiết bước kiểm thử,Ghi chú
CE-001,Load gameplay scene không lỗi đỏ nếu tìm được,Scene gameplay thật load được và không phát sinh Error/Exception.,"Scene đã load=Assets/Ben Ho/Scene UI/UI Menu.unity, activeScene=UI Menu, số Error/Exception=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra lỗi Console bằng Unity Test Runner.,
CE-002,Spawn Player không lỗi đỏ,Player prefab thật spawn không phát sinh Error/Exception.,"Player prefab=Kael _ConsoleTest, vị trí=(0.00,-2.02,0.00), số Error/Exception=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra lỗi Console bằng Unity Test Runner.,
CE-003,Spawn Enemy không lỗi đỏ,Enemy prefab thật spawn không phát sinh Error/Exception.,"Enemy prefab=Enemy_Bat_ConsoleTest, vị trí=(0.00,1.00,0.00), số Error/Exception=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra lỗi Console bằng Unity Test Runner.,
CE-004,Player thao tác cơ bản không lỗi đỏ,"Movement, Jump, Dodge, Attack, Skill 1 nếu có không phát sinh Error/Exception.","Player prefab=Kael _ConsoleTest, chuỗi thao tác=CharacterMovement.Run/Walk, CharacterMovement.Jump, CharacterMovement.Dodge, CharacterCombat.TryAttack, CharacterSkill.UseSkill1, số Error/Exception=2. KHÔNG ĐẠT - Player thao tác cơ bản phát sinh Error/Exception. Lỗi: Exception: NullReferenceException: Object reference not set to an instance of an object | Exc... (đã rút gọn, xem Unity Console để biết chi tiết)",Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra lỗi Console bằng Unity Test Runner.,
CE-006,Combat cơ bản không lỗi đỏ,Spawn Player/Enemy và gọi combat cơ bản không phát sinh Error/Exception.,"Player=Kael _ConsoleTest, Enemy=Enemy_Bat_ConsoleTest, khoảng cách=1.22, PlayerAttack=CharacterCombat.TryAttack, EnemyAttack=EnemyCombat.PerformAttack, damage=EnemyDamageReceiver.TakeHit, số Error/Exception=3. KHÔNG ĐẠT - Combat cơ bản phát sinh Error/Exception. Lỗi: Error: ""Stop"" can only be called on an active agent that has been placed on a NavMesh. | Err... (đã rút gọn, xem Unity Console để biết chi tiết)",Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra lỗi Console bằng Unity Test Runner.,
CE-007,Chuỗi thao tác Player/Enemy cơ bản không lỗi đỏ,"Chuỗi spawn, movement, attack, skill, enemy damage, enemy attack không phát sinh Error/Exception.","Player=Kael _ConsoleTest, Enemy=Enemy_Bat_ConsoleTest, chuỗi thao tác=CharacterMovement.Run/Walk, CharacterCombat.TryAttack, CharacterSkill.UseSkill1, EnemyDamageReceiver.TakeHit, EnemyCombat.PerformAttack, CharacterMovement.Dodge, frame chờ=30, số Error/Exception=3. KHÔNG ĐẠT - Chuỗi thao tác Player/Enemy phát sinh Error/Exception. Lỗi: Error: ""Stop"" can on... (đã rút gọn, xem Unity Console để biết chi tiết)",Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra lỗi Console bằng Unity Test Runner.,
