Mã TC,Tiêu đề testcase,Kết quả mong đợi,Kết quả thực tế,Tình trạng thực thi,Mức độ nghiêm trọng của lỗi,Kiểu chạy (Thủ công / Tự động),Người kiểm thử,Ngày bắt đầu,Chi tiết bước kiểm thử,Ghi chú
CB-001,Player đánh trúng Enemy thì Enemy giảm HP,Enemy giảm HP khi Player attack hoặc gọi damage thật tương ứng.,"HP Enemy trước=100.00, sau=95.00, khoảng cách=3.35, method attack=CharacterCombat.TryAttack, method damage=EnemyDamageReceiver.TakeHit, lỗi Console=3. KHÔNG ĐẠT - Player đánh Enemy phát sinh Error/Exception. Lỗi: Error: ""Stop"" can only be called on an active agent that has been placed on a NavMesh. | Error: ""Resume"" can only be called on an active agent that... (đã rút gọn, xem Unity Console để biết chi tiết)",Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra combat bằng Unity Test Runner.,
CB-003,Enemy đánh trúng Player thì Player giảm HP,Player HP giảm khi Enemy attack thật nếu project có Player HP.,KHÔNG ĐẠT - Không tìm thấy HP/Health thật trên Player prefab để kiểm tra giảm HP.,Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra combat bằng Unity Test Runner.,
CB-004,Enemy đánh ngoài tầm thì Player không giảm HP,Player ngoài tầm không bị giảm HP nếu đọc được Player HP.,KHÔNG ĐẠT - Không tìm thấy HP/Health thật trên Player prefab để kiểm tra giảm HP.,Fail,Medium,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra combat bằng Unity Test Runner.,
CB-005,Hitbox Player chỉ gây damage khi Attack,"Enemy không giảm HP trước Attack, chỉ giảm sau khi gọi logic Attack/damage thật.","HP Enemy ban đầu=100.00, sau đứng yên=100.00, sau Attack=100.00, method attack=CharacterCombat.TryAttack, damage method=EnemyDamageReceiver.TakeHit. KHÔNG ĐẠT - Enemy không giảm HP sau Attack/damage thật. | Expected: less than 100.0f | But was: 100.0f",Fail,Medium,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra combat bằng Unity Test Runner.,
CB-007,Player không spam damage mỗi frame,Gọi Player Attack nhiều lần không làm Enemy nhận damage vô hạn mỗi frame.,"Bên tấn công=Player, HP mục tiêu trước=100.00, sau=100.00, số lần gọi=5, method=CharacterCombat.TryAttack, lỗi Console=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra combat bằng Unity Test Runner.,
CB-009,Skill 1 gây damage nếu là skill tấn công,Skill 1 gọi được và Enemy HP thay đổi hợp lệ nếu skill có damage.,"Skill1 method=CharacterSkill.UseSkill1, Enemy trong tầm=True, HP Enemy trước=100.00, sau=100.00, khoảng cách=21.37, lỗi Console=2. KHÔNG ĐẠT - Skill 1 combat phát sinh Error/Exception. Lỗi: Exception: NullReferenceException: Object reference not set to an instance of an object | Exception: NullReferenceException: Object reference not set to an instance of an... (đã rút gọn, xem Unity Console để biết chi tiết)",Fail,Medium,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra combat bằng Unity Test Runner.,
CB-010,Skill 1 không tác động sai mục tiêu ngoài phạm vi,Enemy ngoài phạm vi không giảm HP bất thường khi gọi Skill 1.,"Skill1 method=CharacterSkill.UseSkill1, Enemy trong tầm=False, HP Enemy trước=100.00, sau=100.00, khoảng cách=102.10, lỗi Console=2. KHÔNG ĐẠT - Skill 1 combat phát sinh Error/Exception. Lỗi: Exception: NullReferenceException: Object reference not set to an instance of an object | Exception: NullReferenceException: Object reference not set to an instance of ... (đã rút gọn, xem Unity Console để biết chi tiết)",Fail,Medium,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra combat bằng Unity Test Runner.,
CB-011,Enemy chết không còn gây damage,Enemy sau khi chết không gây lỗi và không gây damage thêm nếu Player HP đọc được.,KHÔNG ĐẠT - Không tìm thấy method damage thật trên Enemy.,Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra combat bằng Unity Test Runner.,
CB-012,Player chết không còn gây damage,Player sau khi chết không gây damage nếu project có Player HP/death thật.,KHÔNG ĐẠT - Project chưa có Player HP/Death method thật để đưa Player về trạng thái chết và kiểm tra combat sau chết.,Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra combat bằng Unity Test Runner.,
CB-013,Combat cơ bản không Error/Exception,"Spawn Player/Enemy, gọi attack/skill/damage thật không phát sinh Error/Exception.","Player attack=CharacterCombat.TryAttack, Skill1=CharacterSkill.UseSkill1, Enemy attack=EnemyCombat.PerformAttack, damage method=EnemyDamageReceiver.TakeHit, Enemy HP=100.00, lỗi Console=3. KHÔNG ĐẠT - Combat cơ bản phát sinh Error/Exception. Lỗi: Error: ""Stop"" can only be called on an active agent that has been placed on a NavMesh. | Error: ""Resume"" can only... (đã rút gọn, xem Unity Console để biết chi tiết)",Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra combat bằng Unity Test Runner.,
